tambon,age_group,population
ตำบลศรีภูมิ,0–4,599
ตำบลศรีภูมิ,5–14,1289
ตำบลศรีภูมิ,15–44,3443
ตำบลศรีภูมิ,45–59,2112
ตำบลศรีภูมิ,60–69,1608
ตำบลศรีภูมิ,70+ ,2125
ตำบลพระสิงห์,0–4,93
ตำบลพระสิงห์,5–14,447
ตำบลพระสิงห์,15–44,1973
ตำบลพระสิงห์,45–59,1167
ตำบลพระสิงห์,60–69,908
ตำบลพระสิงห์,70+ ,1182
ตำบลหายยา,0–4,237
ตำบลหายยา,5–14,907
ตำบลหายยา,15–44,3906
ตำบลหายยา,45–59,2330
ตำบลหายยา,60–69,1870
ตำบลหายยา,70+ ,1948
ตำบลช้างม่อย,0–4,193
ตำบลช้างม่อย,5–14,535
ตำบลช้างม่อย,15–44,2334
ตำบลช้างม่อย,45–59,1176
ตำบลช้างม่อย,60–69,924
ตำบลช้างม่อย,70+ ,1478
ตำบลช้างคลาน,0–4,300
ตำบลช้างคลาน,5–14,1136
ตำบลช้างคลาน,15–44,4284
ตำบลช้างคลาน,45–59,2453
ตำบลช้างคลาน,60–69,1772
ตำบลช้างคลาน,70+ ,2270
ตำบลวัดเกต,0–4,442
ตำบลวัดเกต,5–14,1227
ตำบลวัดเกต,15–44,7086
ตำบลวัดเกต,45–59,3315
ตำบลวัดเกต,60–69,2547
ตำบลวัดเกต,70+ ,3144
ตำบลช้างเผือก,0–4,310
ตำบลช้างเผือก,5–14,1142
ตำบลช้างเผือก,15–44,4768
ตำบลช้างเผือก,45–59,2841
ตำบลช้างเผือก,60–69,1956
ตำบลช้างเผือก,70+ ,2083
ตำบลสุเทพ,0–4,152
ตำบลสุเทพ,5–14,546
ตำบลสุเทพ,15–44,4444
ตำบลสุเทพ,45–59,1802
ตำบลสุเทพ,60–69,1019
ตำบลสุเทพ,70+ ,1082
ตำบลป่าแดด,0–4,23
ตำบลป่าแดด,5–14,116
ตำบลป่าแดด,15–44,560
ตำบลป่าแดด,45–59,376
ตำบลป่าแดด,60–69,226
ตำบลป่าแดด,70+ ,227
ตำบลหนองหอย,0–4,141
ตำบลหนองหอย,5–14,455
ตำบลหนองหอย,15–44,2126
ตำบลหนองหอย,45–59,1319
ตำบลหนองหอย,60–69,900
ตำบลหนองหอย,70+ ,852
ตำบลท่าศาลา,0–4,125
ตำบลท่าศาลา,5–14,389
ตำบลท่าศาลา,15–44,2024
ตำบลท่าศาลา,45–59,1193
ตำบลท่าศาลา,60–69,912
ตำบลท่าศาลา,70+ ,697
ตำบลหนองป่าครั่ง,0–4,32
ตำบลหนองป่าครั่ง,5–14,115
ตำบลหนองป่าครั่ง,15–44,562
ตำบลหนองป่าครั่ง,45–59,335
ตำบลหนองป่าครั่ง,60–69,234
ตำบลหนองป่าครั่ง,70+ ,261
ตำบลฟ้าฮ่าม,0–4,23
ตำบลฟ้าฮ่าม,5–14,106
ตำบลฟ้าฮ่าม,15–44,302
ตำบลฟ้าฮ่าม,45–59,159
ตำบลฟ้าฮ่าม,60–69,141
ตำบลฟ้าฮ่าม,70+ ,155
ตำบลป่าตัน,0–4,230
ตำบลป่าตัน,5–14,867
ตำบลป่าตัน,15–44,4045
ตำบลป่าตัน,45–59,2295
ตำบลป่าตัน,60–69,1394
ตำบลป่าตัน,70+ ,1195
